Bus,No,Time,State,ID (hex),DLC,Data (hex),ASCII
USB-to-CAN V2 compact  CAN-1,411,15:35:56.105,  E   , CFDD780,8,F3 FF FF FF FF FF FF FF,........
USB-to-CAN V2 compact  CAN-1,412,15:35:56.105,  E   ,18FEF803,8,FF FF FF FF C0 27 FF FF,.....'..
USB-to-CAN V2 compact  CAN-1,413,15:35:56.108,  E   ,18FF0104,8,00 10 00 09 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,414,15:35:56.110,  E   ,18F00400,8,00 7D 7D 00 00 07 00 7D,.}}....}
USB-to-CAN V2 compact  CAN-1,415,15:35:56.112,  E   ,18FEF704,8,FF FF FF FF 13 02 FF FF,........
USB-to-CAN V2 compact  CAN-1,416,15:35:56.115,  E   ,18FEE500,8,A0 01 00 00 08 05 00 00,........
USB-to-CAN V2 compact  CAN-1,417,15:35:56.116,  E   ,18FFF504,8,FF 82 00 FF 00 07 FF 01,........
USB-to-CAN V2 compact  CAN-1,418,15:35:56.120,  E   ,18FEEF00,8,02 FF FF 00 FF FF FF FF,........
USB-to-CAN V2 compact  CAN-1,419,15:35:56.128,  E   ,18FF0104,8,00 10 00 09 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,420,15:35:56.131,  E   , CFDD680,8,01 00 01 00 F0 30 3F FF,.....0?.
USB-to-CAN V2 compact  CAN-1,421,15:35:56.131,  E   , CFDD780,8,F3 FF FF FF FF FF FF FF,........
USB-to-CAN V2 compact  CAN-1,422,15:35:56.132,  E   ,18FEF704,8,FF FF FF FF 13 02 FF FF,........
USB-to-CAN V2 compact  CAN-1,423,15:35:56.136,  E   ,18FFF504,8,FF 82 00 FF 00 07 FF 01,........
USB-to-CAN V2 compact  CAN-1,424,15:35:56.140,  E   ,18FFF403,8,2A 00 00 00 00 00 00 2A,*......*
USB-to-CAN V2 compact  CAN-1,425,15:35:56.145,  E   ,18FFF003,8,00 00 00 00 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,426,15:35:56.148,  E   ,18FF0104,8,00 10 00 09 00 00 00 00,........
USB-to-CAN V2 compact  CAN-1,427,15:35:56.150,  E   ,18FFF103,8,00 00 00 00 00 00 00 FF,........
USB-to-CAN V2 compact  CAN-1,428,15:35:56.152,  E   ,18FEF704,8,FF FF FF FF 13 02 FF FF,........
USB-to-CAN V2 compact  CAN-1,429,15:35:56.155,  E   ,18FEF803,8,FF FF FF FF C0 27 FF FF,.....'..
USB-to-CAN V2 compact  CAN-1,430,15:35:56.156,  E   ,18FFF504,8,FF 82 00 FF 00 07 FF 01,........
USB-to-CAN V2 compact  CAN-1,431,15:35:56.158,  E   , CFDD680,8,01 00 01 00 F0 30 3F FF,.....0?.
USB-to-CAN V2 compact  CAN-1,432,15:35:56.159,  E   , CFDD780,8,F3 FF FF FF FF FF FF FF,........
USB-to-CAN V2 compact  CAN-1,433,15:35:56.160,  E   ,18F00400,8,00 7D 7D 00 00 07 00 7D,.}}....}
USB-to-CAN V2 compact  CAN-1,434,15:35:56.165,  E   ,18FEE400,8,FF FF FF FD FF FF FF FF,........
